"","x"
"1",11.8465390541481
"2",18.8423889791894
"3",7.20921246247836
"4",21.8577223489651
"5",20.5589149185249
"6",5.2088555078154
"7",10.0084404564979
"8",14.9503558744083
"9",20.2420350156296
"10",19.1105483836588
"11",23.3805238109392
"12",15.7602160918219
"13",15.7721901516211
"14",19.9223290236047
"15",5.85796600506616
"16",8.26725440448473
"17",18.8368317312767
"18",14.4285987125383
"19",16.947907466687
"20",23.0084798047868
"21",5.64252335610342
"22",7.83255650206728
"23",6.90343371178305
"24",9.60299515619577
